Country,Country Code,percentage
Aruba,ABW,68.6466058859653
Afghanistan,AFG,54.3248975483403
Angola,AGO,50.9747016426956
Albania,ALB,68.5823903647225
Andorra,AND,
Arab World,ARB,62.6616873953689
United Arab Emirates,ARE,84.31148964500841
Argentina,ARG,64.1212772887989
Armenia,ARM,68.11276041799
American Samoa,ASM,
Antigua and Barbuda,ATG,69.1190827326922
Australia,AUS,65.1529077338752
Austria,AUT,66.7004859083869
Azerbaijan,AZE,70.43524738889859
Burundi,BDI,52.2513787905443
Belgium,BEL,64.1558335012748
Benin,BEN,54.2987123079372
Burkina Faso,BFA,52.6449378491703
Bangladesh,BGD,67.1355868778783
Bulgaria,BGR,64.3826202477506
Bahrain,BHR,78.3193560020542
"Bahamas, The",BHS,70.2575219701429
Bosnia and Herzegovina,BIH,68.7634648796227
Belarus,BLR,68.2889087752101
Belize,BLZ,64.9837758535624
Bermuda,BMU,
Bolivia,BOL,61.7345048621782
Brazil,BRA,69.7430902567055
Barbados,BRB,66.8543578901832
Brunei Darussalam,BRN,72.10039094280859
Bhutan,BTN,68.2256345541021
Botswana,BWA,61.663179637881406
Central African Republic,CAF,52.879905742538995
Canada,CAN,66.8977424466943
Central Europe and the Baltics,CEB,66.4042393677876
Switzerland,CHE,66.4658286661214
Channel Islands,CHI,67.5141789687916
Chile,CHL,68.7162958723189
China,CHN,71.2021137123803
Cote d'Ivoire,CIV,55.204084848238296
Cameroon,CMR,54.6395427998918
"Congo, Dem. Rep.",COD,50.8165172919176
"Congo, Rep.",COG,55.554778000514496
Colombia,COL,68.4440570001664
Comoros,COM,57.4545668623441
Cabo Verde,CPV,66.61290589535591
Costa Rica,CRI,69.1254082206391
Caribbean small states,CSS,67.4904170002725
Cuba,CUB,68.6025495906116
Curacao,CUW,64.4311590640975
Cayman Islands,CYM,
Cyprus,CYP,69.4930902700408
Czech Republic,CZE,64.9925175870224
Germany,DEU,64.9170079001335
Djibouti,DJI,65.898304660541
Dominica,DMA,
Denmark,DNK,63.7287848006111
Dominican Republic,DOM,64.9400530208454
Algeria,DZA,63.488824868794495
East Asia & Pacific (excluding high income),EAP,70.00494974075521
Early-demographic dividend,EAR,65.2846235663376
East Asia & Pacific,EAS,69.4880949556083
Europe & Central Asia (excluding high income),ECA,66.9139360505531
Europe & Central Asia,ECS,65.6360525492978
Ecuador,ECU,64.814118271228
"Egypt, Arab Rep.",EGY,60.971499944556
Euro area,EMU,64.33159549969379
Eritrea,ERI,
Spain,ESP,65.954491369965
Estonia,EST,64.01656940706921
Ethiopia,ETH,55.715885095066795
European Union,EUU,64.58977752447251
Fragile and conflict affected situations,FCS,56.311764385006
Finland,FIN,62.134029481894
Fiji,FJI,65.0376973863674
France,FRA,62.008910808533294
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,64.2959872159091
Gabon,GAB,59.410222835639495
United Kingdom,GBR,63.926052256896
Georgia,GEO,65.3392679684092
Ghana,GHA,59.3350404080317
Gibraltar,GIB,
